	req_id	src	tgt_de
0	0	 Regions and cities Australia has six states, two major mainland territories, and other minor territories	Regionen und Städte Australien hat sechs Staaten, zwei große Festlandgebiete und andere kleinere Gebiete
1	1	 I know he has power in both hands, but to catch Tim Bradley is going to be very hard	Ich weiß, dass er Kraft in beiden Händen hat, aber Tim Bradley einzuholen, wird sehr schwer werden.
12	2	 Head coach Jeremy Colliton said the changes are being made to make sure the youngster won’t burn out like many rookies do during their first season	Cheftrainer Jeremy Colliton sagte, die Änderungen würden vorgenommen, um sicherzustellen, dass der Nachwuchsspieler nicht ausbrennt, wie es vielen Neulingen in ihrer ersten Saison passiert.
23	3	 Wade, stressing she wants to back a judge who would show respect for settled law such as the Roe decision	Wade betonte, dass sie einen Richter unterstützen wolle, der Respekt vor geltendem Recht wie der Roe-Entscheidung zeigen würde.
34	4	 So I guess what I’m getting at is that this isn’t a super quality game, but it’s loads of fun and it’s good at what it does	Ich denke, worauf ich hinaus will, ist, dass dies kein Spiel von höchster Qualität ist, aber es macht jede Menge Spaß und ist gut in dem, was es tut
45	5	""" Lara Croft was the first major female video game protagonist"	„Lara Croft war die erste große weibliche Videospiel-Protagonistin
46	6	 Whether you're in need of emergency service, or you simply are looking to schedule regular maintenance for your Cesspool or Sewer System, give Help	Egal, ob Sie einen Notfalldienst benötigen oder einfach nur eine regelmäßige Wartung für Ihre Senkgrube oder Ihr Abwassersystem planen möchten, geben Sie Hilfe
47	7	 The students interested in the exam have applied for the exam through online	Die an der Prüfung interessierten Studierenden haben sich online für die Prüfung angemeldet
48	8	 These procedures reflect the approach adopted by leading airlines around the world and have been in place for some time	Diese Verfahren spiegeln den Ansatz führender Fluggesellschaften auf der ganzen Welt wider und sind seit einiger Zeit in Kraft.
49	9	uk guarantee your PANASONIC CGR-B/202A1B battery chargers transaction will be 100% safe	uk garantiert, dass Ihre Transaktion für PANASONIC CGR-B/202A1B Akkuladegeräte 100% sicher ist
2	10	 The bombing of Pan Am Flight 103 from London to New York resulted in 270 fatalities, including all 259 of the airplane's occupants and eleven individuals on the ground	Bei dem Bombenanschlag auf den Pan-Am-Flug 103 von London nach New York kamen 270 Menschen ums Leben, darunter alle 259 Insassen des Flugzeugs und elf Personen am Boden.
3	11	" They are starving us, now they are killing us,"" he said"	"Sie lassen uns verhungern, jetzt bringen sie uns um"", sagte er"
4	12	 Probably that's why I couldn't warm up to his cheesy character on the boss drama lol	Wahrscheinlich konnte ich mich deshalb mit seinem kitschigen Charakter im Boss-Drama nicht anfreunden, lol
5	13	 Wikinews interviewed him regarding his values, his experience, and his campaign	Wikinews interviewte ihn zu seinen Werten, seiner Erfahrung und seiner Kampagne
6	14	The travellers took their places in the carriage , and again the monotony of the road , the steady trot of the horses , the sing-song words of encouragement of their driver , monopolised the thoughts of sleepy minds 	Die Reisenden nahmen ihre Plätze im Wagen ein, und wieder beherrschte die Monotonie der Straße, der gleichmäßige Trab der Pferde, die singenden, aufmunternden Worte ihres Kutschers die Gedanken der schläfrigen Gemüter.
7	15	 At least 23 others were hospitalized, some with multiple internal injuries	Mindestens 23 weitere wurden ins Krankenhaus eingeliefert, einige mit mehreren inneren Verletzungen
8	16	 The couple wanted a simple and relaxing landscape design that employed subtle and scattered spot lights which illuminated the exterior stone facades of the farmhouse	Das Paar wollte eine einfache und entspannende Landschaftsgestaltung, bei der dezente und verstreute Scheinwerfer die äußeren Steinfassaden des Bauernhauses beleuchteten.
9	17	 August 27 1883: Krakatoa, in the Sunda Strait between Sumatra and Java, explodes, after a very violent eruption	27. August 1883: Krakatau in der Sundastraße zwischen Sumatra und Java explodiert nach einem sehr heftigen Ausbruch
10	18	 The grouping of disorders, including PDD-NOS, autism, Asperger syndrome, Rett syndrome, and CDD, has been removed and replaced with the general term of Autism Spectrum Disorders	Die Gruppierung der Störungen, darunter PDD-NOS, Autismus, Asperger-Syndrom, Rett-Syndrom und CDD, wurde entfernt und durch den allgemeinen Begriff „Autismus-Spektrum-Störungen“ ersetzt.
11	19	 A possible explanation might be found in another nugget provided by South Korea’s spy agency: China had long protected Kim Jong Nam and his family in their home base of Macau	Eine mögliche Erklärung könnte in einem weiteren Nugget des südkoreanischen Geheimdienstes zu finden sein: China hatte Kim Jong Nam und seine Familie in ihrer Heimatbasis Macau lange Zeit geschützt.
13	20	""" So to go back to what you said, I think there's different functions within their systems that they would like to be updated at different speeds"	„Um also auf das zurückzukommen, was Sie gesagt haben: Ich denke, es gibt verschiedene Funktionen in ihren Systemen, die sie gerne mit unterschiedlicher Geschwindigkeit aktualisiert hätten.
14	21	 Advertisement Two more years of college later, Mike Shirt is drafted into the Pittsburgh Pirates	Anzeige Zwei weitere Jahre College später wird Mike Shirt zu den Pittsburgh Pirates gedraftet
15	22	 Swift hugged her crying mother after the six-woman, two-man jury said in U	Swift umarmte ihre weinende Mutter, nachdem die sechs-Frau, zwei-Mann-Jury sagte in U
16	23	 Welcome to Clix O’Clock, a new weekly feature here on We the Nerdy	Willkommen bei Clix O’Clock, einem neuen wöchentlichen Feature hier auf We the Nerdy
17	24	Master Mobile is a family run business set in the heart of Staffordshire, we have been established in this area now for just under 3 years	Master Mobile ist ein familiengeführtes Unternehmen im Herzen von Staffordshire. Wir sind seit knapp 3 Jahren in dieser Gegend ansässig.
18	25	 RaptorJesus over 7 years ago ThunderBird said: That means Flandre can't kill herself, and the Luna Dial can go bonkers on Remilia, and she still won't age/die of old age	RaptorJesus vor über 7 Jahren ThunderBird sagte: Das bedeutet, dass Flandre sich nicht umbringen kann und dass der Luna Dial bei Remilia durchdrehen kann und sie trotzdem nicht altert/an Altersschwäche stirbt
19	26	 Easy-to-Hold Design The tablet’s thin bezel makes it easier to hold it with one hand, freeing up the other to tap through apps or high-five strangers	Leicht zu haltendes Design Der dünne Rahmen des Tablets erleichtert das Halten mit einer Hand, sodass die andere Hand frei ist, um durch Apps zu tippen oder Fremden ein High-Five zu geben
20	27	 ‘The area of Pakistan’, the chiefs noted, ‘is strategically the most important in the continent of India and the majority of our strategic requirements could be met	„Das Gebiet Pakistans“, so die Chefs, „ist strategisch das wichtigste auf dem indischen Kontinent und die Mehrheit unserer strategischen Anforderungen könnte erfüllt werden
21	28	 Societal and cultural aspects of autism have developed: some in the community seek a cure, while others believe that autism is simply another way of being	Gesellschaftliche und kulturelle Aspekte des Autismus haben sich entwickelt: Einige in der Gemeinschaft suchen nach einer Heilung, während andere glauben, dass Autismus einfach eine andere Art des Seins ist
22	29	 It is supervised by a Board of five members, managed by an executive team, has five employees and around 20 volunteers and interns	Es wird von einem fünfköpfigen Vorstand beaufsichtigt, von einem Führungsteam geleitet, hat fünf Mitarbeiter und rund 20 Freiwillige und Praktikanten
24	30	 From a player’s perspective IRPA does not want that debate to be a distraction from making sure the right thing is done by the players now	Aus Spielersicht möchte IRPA nicht, dass diese Debatte davon ablenkt, sicherzustellen, dass die Spieler jetzt das Richtige tun.
25	31	 In Closing I’m really excited to introduce to you The ONE Habit Course	Abschließend freue ich mich sehr, Ihnen den ONE Habit Kurs vorstellen zu dürfen
26	32	 DisableTab : false # ShowPluginNameOnMessages: Show the plugin name on messages sent to the players # and console	DisableTab : false # ShowPluginNameOnMessages: Zeigt den Plugin-Namen in Nachrichten an, die an die Spieler # und die Konsole gesendet werden
27	33	” The changes are part of a broader effort by the Pentagon to decrease its projected spending by $487 billion over the next decade in accordance with a deficit-reduction deal President Obama reached with Congress in August	„Die Änderungen sind Teil einer umfassenderen Anstrengung des Pentagons, seine geplanten Ausgaben im nächsten Jahrzehnt um 487 Milliarden Dollar zu senken, gemäß einer Vereinbarung zur Defizitreduzierung, die Präsident Obama im August mit dem Kongress getroffen hat.
28	34	 he held the cow's head and forced it to eat grass	Er hielt den Kopf der Kuh fest und zwang sie, Gras zu fressen
29	35	" ""Using her smarts, crafting ammo types out of the environment to whittle down the enemy one at a time, using the environment against them, that’s a way she succeeds against overwhelming odds"	„Sie nutzt ihre Intelligenz, stellt Munition aus der Umgebung her, um die Feinde einen nach dem anderen zu dezimieren, und verwendet die Umgebung gegen sie. So gelingt es ihr, trotz überwältigender Chancen erfolgreich zu sein.
30	36	" ""We may need to start off with a path that may not have a full level of service, and the fee would have to reflect that,"" Galloway said"	„Wir müssen möglicherweise mit einem Weg beginnen, der möglicherweise kein vollständiges Serviceniveau bietet, und die Gebühr müsste das widerspiegeln“, sagte Galloway.
31	37	 Much of its economics and legal philosophy reflect anti-authoritarian, anti-statist, libertarian, and radical interpretations of left-wing and socialist politics such as collectivism, communism, individualism, mutualism, and syndicalism, among other libertarian socialist economic theories	Ein Großteil seiner Wirtschafts- und Rechtsphilosophie spiegelt antiautoritäre, antistaatliche, libertäre und radikale Interpretationen linker und sozialistischer Politik wider, wie Kollektivismus, Kommunismus, Individualismus, Mutualismus und Syndikalismus sowie andere libertäre sozialistische Wirtschaftstheorien.
32	38	 All those nights of changing my clothes in the minivan as I raced home from work to coach her softball team	All die Nächte, in denen ich mich im Minivan umgezogen habe, während ich von der Arbeit nach Hause raste, um ihr Softballteam zu trainieren
33	39	Hot Mess to Mindful Mom is a new book written by Ali Katz	„Hot Mess to Mindful Mom“ ist ein neues Buch von Ali Katz
35	40	 My hope is that your parent company's eagerness to embrace the drone won't lead you to sidestep covering drone problems	Ich hoffe, dass die Begeisterung Ihres Mutterkonzerns für Drohnen Sie nicht dazu verleitet, die Berichterstattung über Drohnenprobleme zu umgehen.
36	41	5, do I need all these if I have the previous version	5, brauche ich das alles, wenn ich die vorherige Version habe
37	42	 How early do you think children can, or should, start learning about philosophy	Wie früh können oder sollten Kinder Ihrer Meinung nach mit der Philosophie beginnen?
38	43	The people in this print are all linked by their support for the Revolution	Die Menschen auf diesem Druck sind alle durch ihre Unterstützung für die Revolution verbunden.
39	44	 Describing her as having ‘sentiments as pure, as refined, and as delicate, as ever inhabited a human heart’ his principle mistake was to ask for sympathy for her plight and pose her as ‘the fairest source of animation and encouragement to all who would follow’	Er beschrieb sie als jemanden mit „so reinen, so feinen und so zarten Gefühlen, wie sie noch nie in einem menschlichen Herzen gelebt haben“. Sein Hauptfehler bestand darin, um Mitgefühl für ihre Notlage zu bitten und sie als „die schönste Quelle der Erheiterung und Ermutigung für alle, die ihm folgen würden“ darzustellen.
40	45	 The more this is the case the more a country will need foreign workers to get anything done	Je ausgeprägter dies ist, desto mehr ausländische Arbeitskräfte wird ein Land für seine Arbeit brauchen.
41	46	 The Force-connection scenes between him and Rey were among the highlights of the film, and provided some much-needed characterization for both of them, allowing both to speak, debate, even flirt, without any need for a lightsaber battle	Die Szenen mit der Machtverbindung zwischen ihm und Rey gehörten zu den Höhepunkten des Films und sorgten für die dringend benötigte Charakterisierung beider, indem sie es beiden ermöglichten, zu sprechen, zu diskutieren und sogar zu flirten, ohne dass es zu einem Lichtschwertkampf kommen musste.
42	47	when she leaned over to flick her tongue across the tip , he groaned 	als sie sich vorbeugte, um mit der Zunge über die Spitze zu lecken, stöhnte er
43	48	 There are also exercise classes especially for women who are pregnant	Es gibt auch Übungskurse speziell für schwangere Frauen
44	49	 Then the bookseller himself , who also was fat and comfortably shabby , and who had beguiled from me the information that I was about to travel , suggested that the `` Poets '' would make very pleasant reading en route 	Dann meinte der Buchhändler selbst, der ebenfalls dick und gemütlich schäbig war und mir die Information entlockt hatte, dass ich im Begriff war zu verreisen, dass die „Dichter“ eine sehr angenehme Lektüre für unterwegs sein würden.
